id,title,year,url,user_score,votes
177639,Raptor,2015,/boardgame/177639/raptor,7.28,9056
318184,Imperium: Classics,2021,/boardgame/318184/imperium-classics,7.82,3387
478,Citadels,2000,/boardgame/478/citadels,7.08,51380
62227,"Labyrinth: The War on Terror, 2001 – ?",2010,/boardgame/62227/labyrinth-war-terror-2001,7.59,4654
298069,Cubitos,2021,/boardgame/298069/cubitos,7.57,4706
162082,Deus,2014,/boardgame/162082/deus,7.29,8167
98778,Hanabi,2010,/boardgame/98778/hanabi,7.06,43354
277085,Love Letter,2019,/boardgame/277085/love-letter,7.56,4931
15062,Shadows over Camelot,2005,/boardgame/15062/shadows-over-camelot,7.11,26537
262211,Cloudspire,2019,/boardgame/262211/cloudspire,8.21,2430
20437,Lords of Vegas,2010,/boardgame/20437/lords-vegas,7.35,7072
205398,Citadels,2016,/boardgame/205398/citadels,7.29,10475
274638,Unmatched: Robin Hood vs. Bigfoot,2019,/boardgame/274638/unmatched-robin-hood-vs-bigfoot,8.07,2593
43570,Friday,2011,/boardgame/43570/friday,7.13,18933
13,CATAN,1995,/boardgame/13/catan,7.12,112791
193042,Junk Art,2016,/boardgame/193042/junk-art,7.39,6430
144189,Fire in the Lake,2014,/boardgame/144189/fire-lake,8.06,2518
232414,Oceans,2020,/boardgame/232414/oceans,7.55,4847
240196,Betrayal Legacy,2018,/boardgame/240196/betrayal-legacy,7.72,4098
95527,Madeira,2013,/boardgame/95527/madeira,7.58,4228
119506,Freedom: The Underground Railroad,2012,/boardgame/119506/freedom-underground-railroad,7.57,4188
191862,Imhotep,2016,/boardgame/191862/imhotep,7.17,13902
105551,Archipelago,2012,/boardgame/105551/archipelago,7.32,7808
65781,London,2010,/boardgame/65781/london,7.34,6425
206941,First Class: All Aboard the Orient Express!,2016,/boardgame/206941/first-class-all-aboard-orient-express,7.44,5334
245654,Railroad Ink: Deep Blue Edition,2018,/boardgame/245654/railroad-ink-deep-blue-edition,7.23,10205
123123,BattleCON: Devastation of Indines,2013,/boardgame/123123/battlecon-devastation-indines,7.87,3131
97786,Small World Underground,2011,/boardgame/97786/small-world-underground,7.25,10399
290236,Canvas,2021,/boardgame/290236/canvas,7.43,6117
269144,Hadara,2019,/boardgame/269144/hadara,7.45,5348
12942,No Thanks!,2004,/boardgame/12942/no-thanks,7.07,23222
180974,Potion Explosion,2015,/boardgame/180974/potion-explosion,7.14,16336
144797,Argent: The Consortium,2015,/boardgame/144797/argent-consortium,7.67,3660
127398,Legends of Andor,2012,/boardgame/127398/legends-andor,7.16,17134
171668,The Grizzled,2015,/boardgame/171668/grizzled,7.16,13551
221965,The Fox in the Forest,2017,/boardgame/221965/fox-forest,7.17,12249
262215,Blackout: Hong Kong,2018,/boardgame/262215/blackout-hong-kong,7.47,4983
21790,Thurn and Taxis,2006,/boardgame/21790/thurn-and-taxis,7.10,19036
258210,Blitzkrieg!: World War Two in 20 Minutes,2019,/boardgame/258210/blitzkrieg-world-war-two-20-minutes,7.66,3648
125618,Libertalia,2012,/boardgame/125618/libertalia,7.15,13398
