id,best_players,min_players,max_playtime,weight
239188,2.0,1,90,2.0861
9209,4.0,2,60,1.8408
54998,5.0,2,90,2.8193
318977,2.0,1,45,1.1211
129437,3.0,1,60,2.4343
7854,2.0,2,60,2.6787
176189,3.0,1,180,2.4985
109276,4.0,2,120,4.3614
188834,8.0,5,45,1.6699
146508,4.0,2,90,2.5953
271055,3.0,1,150,3.2211
293014,3.0,2,45,2.1347
194655,2.0,2,20,1.7325
169426,3.0,1,90,2.4207
156129,8.0,4,20,1.587
232832,3.0,2,45,1.6985
294484,2.0,2,40,1.9841
555,5.0,2,100,3.2468
9216,4.0,2,90,3.3731
158600,2.0,2,15,1.7179
192291,5.0,2,20,1.3014
118,5.0,3,45,2.2963
199478,4.0,2,45,1.696
241451,2.0,1,90,2.8197
198994,2.0,2,30,1.8943
176494,4.0,2,50,2.2534
155068,4.0,2,60,2.5282
20551,5.0,3,120,3.3686
31481,4.0,2,60,2.3294
271896,3.0,1,180,2.4958
235802,2.0,1,180,4.0303
269207,3.0,2,60,2.6962
295486,4.0,2,30,2.0073
128621,4.0,2,90,2.9284
27833,4.0,3,90,3.4564
19857,4.0,2,60,2.925
27708,2.0,2,120,3.2026
421,5.0,2,360,4.1609
274637,2.0,2,40,1.9138
300531,3.0,1,60,2.6179
228341,4.0,2,90,3.3498
3,3.0,2,60,2.4823
140620,3.0,1,120,3.3385
223040,3.0,2,20,1.7613
127060,4.0,2,120,3.7367
227224,3.0,1,80,2.8194
204583,2.0,2,25,1.214
232405,4.0,2,90,2.8111
92828,6.0,3,30,1.1787
165722,2.0,2,10,1.0769
108745,2.0,2,60,2.7756
155873,5.0,2,120,3.1926
285967,2.0,2,90,3.0672
144344,3.0,2,120,3.0857
24181,4.0,2,180,3.5653
286096,3.0,1,120,2.9043
760,2.0,2,30,1.8991
97207,4.0,2,90,3.6248
176734,4.0,1,120,3.04
181279,3.0,2,180,3.2516
304783,1.0,1,60,3.1197
224783,4.0,2,150,3.0564
22545,5.0,2,120,3.1268
206718,4.0,2,60,2.036
66589,4.0,2,90,3.0896
300322,2.0,1,140,3.3065
154203,2.0,1,90,2.7706
38453,5.0,1,30,2.9675
2655,2.0,2,20,2.3237
19777,4.0,2,240,3.9765
260605,6.0,3,45,1.4534
246784,4.0,3,50,2.2465
160477,2.0,2,20,1.678
187617,1.0,1,120,3.2174
302723,5.0,3,240,2.0972
93260,2.0,2,60,2.5126
329082,2.0,2,40,2.2308
59294,4.0,2,240,3.7903
203420,2.0,1,120,2.5478
193037,4.0,2,120,3.3757
48726,4.0,2,90,2.5679
46213,8.0,4,30,1.075
54138,4.0,2,180,3.5067
222509,4.0,1,90,3.338
13122,3.0,2,180,4.3057
209685,4.0,2,45,1.7891
139976,4.0,2,120,3.1423
143693,2.0,1,80,2.9689
172081,3.0,1,90,2.3127
140934,2.0,2,30,2.1417
146439,2.0,2,90,2.6973
227789,4.0,2,90,3.2314
234,2.0,2,200,3.4494
163967,3.0,1,45,2.157
54,4.0,2,90,2.7878
257499,3.0,1,180,3.3319
136888,3.0,2,60,2.7453
40692,4.0,2,80,2.3521
129622,4.0,2,20,1.1892
172818,3.0,2,90,2.5219
45315,4.0,2,90,3.5682
2653,4.0,2,60,1.702
5,4.0,2,90,2.5006
77130,4.0,2,240,3.8927
314491,2.0,1,90,2.2356
59959,2.0,2,90,2.6472
230253,2.0,1,45,1.8765
219513,4.0,2,45,1.6488
25292,4.0,2,180,3.2431
101721,2.0,2,90,3.6798
181304,6.0,2,42,1.9053
176920,4.0,2,90,2.2072
188866,4.0,1,75,2.3077
156546,6.0,4,60,1.0517
39856,6.0,3,30,1.2075
21241,2.0,1,30,2.615
184921,4.0,2,60,2.2864
41114,7.0,5,30,1.6024
244271,2.0,2,40,2.1452
70919,3.0,2,45,1.9745
37046,4.0,1,60,2.9033
119890,2.0,2,30,2.3511
172,5.0,3,30,1.2571
163745,2.0,2,120,3.162
192458,2.0,1,90,2.9078
234487,3.0,2,120,3.3188
199042,2.0,2,60,2.0853
297030,3.0,1,120,4.0938
50,2.0,2,30,1.4872
234277,1.0,1,100,2.8634
304420,3.0,1,100,3.6337
8217,3.0,2,60,2.2859
270633,2.0,1,60,2.9375
182134,4.0,2,60,2.7552
25554,4.0,2,75,2.7454
17392,6.0,2,360,4.1768
298047,3.0,1,40,1.811
246192,3.0,2,50,2.0167
311193,3.0,2,120,3.1566
1,5.0,3,240,4.319
39683,2.0,1,120,3.1236
24480,4.0,2,120,2.8191
250458,3.0,1,90,3.0912
90137,4.0,2,120,2.3344
63888,2.0,2,60,2.7542
245934,3.0,2,75,2.5198
285192,2.0,1,150,1.9267
111341,4.0,2,150,3.6842
33160,5.0,3,90,2.9068
9217,4.0,2,60,2.464
244711,3.0,1,90,3.3911
155987,4.0,2,60,2.3386
47,5.0,3,60,2.2583
31594,5.0,2,100,3.0964
144592,4.0,2,125,3.5864
256226,3.0,2,45,2.028
186751,2.0,2,90,3.0435
245655,5.0,3,60,2.2453
